Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Delta_GPA,AI_Usage_Segment
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1.0,True,8.13,5.0,Allowed_With_Citation,6.0,2.393,86.44,High,-0.025000000000000355,Heavy User (>15 jam)
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5.0,False,16.65,3.0,Allowed_With_Citation,9.0,3.696,69.39,Low,-0.125,Light User (0-5 jam)
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2.0,False,10.35,5.0,Strict_Ban,9.0,3.499,73.93,Medium,0.10099999999999998,Heavy User (>15 jam)
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4.0,False,15.23,2.0,Allowed_With_Citation,2.0,4.0,63.58,Medium,0.21099999999999985,Light User (0-5 jam)
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4.0,False,12.55,4.0,Allowed_With_Citation,4.0,3.798,100.0,Medium,0.16300000000000026,Moderate User (5-15 jam)
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1.0,False,14.19,4.0,Allowed_With_Citation,5.0,3.666,65.92,High,0.21700000000000008,Moderate User (5-15 jam)
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5.0,True,13.11,8.0,Allowed_With_Citation,7.0,4.0,67.97,Medium,0.3780000000000001,Heavy User (>15 jam)
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3.0,False,18.45,2.0,Actively_Encouraged,1.0,2.965,85.09,Medium,0.21899999999999986,Moderate User (5-15 jam)
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2.0,True,2.87,1.0,Strict_Ban,5.0,3.396,55.71,Medium,-0.02400000000000002,Light User (0-5 jam)
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2.0,True,12.49,3.0,Strict_Ban,8.0,2.978,87.18,High,-0.06799999999999962,Heavy User (>15 jam)
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3.0,False,11.43,5.0,Allowed_With_Citation,3.0,3.617,95.42,High,0.20999999999999996,Moderate User (5-15 jam)
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3.0,False,8.05,3.0,Actively_Encouraged,3.0,2.699,72.41,Medium,0.07200000000000006,Light User (0-5 jam)
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2.0,False,8.95,2.0,Actively_Encouraged,4.0,3.612,67.68,High,0.133,Light User (0-5 jam)
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1.0,False,25.3,2.0,Allowed_With_Citation,3.0,3.935,64.47,Medium,0.71,Moderate User (5-15 jam)
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1.0,False,16.52,2.0,Allowed_With_Citation,4.0,3.122,70.7,Low,-0.08000000000000007,Light User (0-5 jam)
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1.0,True,12.59,4.0,Allowed_With_Citation,4.0,2.228,70.66,Medium,0.15200000000000014,Moderate User (5-15 jam)
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3.0,False,15.15,5.0,Strict_Ban,8.0,3.214,59.69,Medium,0.2829999999999999,Light User (0-5 jam)
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4.0,False,10.7,4.0,Allowed_With_Citation,5.0,3.39,90.65,Medium,0.23399999999999999,Moderate User (5-15 jam)
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1.0,False,10.84,1.0,Allowed_With_Citation,2.0,3.412,53.95,Medium,0.43699999999999983,Light User (0-5 jam)
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4.0,False,3.69,1.0,Allowed_With_Citation,4.0,3.187,74.23,Medium,-0.11800000000000033,Light User (0-5 jam)
